tripduration,starttime,stoptime,start_station_id,start station name,start station latitude,start station longitude,end_station_id,end station name,end station latitude,end station longitude,bike_id,usertype,birth year,gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m
310,2019-03-15 17:43:52.848,2019-03-15 17:49:03.240,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,402.0,Broadway & E 22 St,40.7403432,-73.98955109,30334,Subscriber,1978,1,end,4098160,419.7387903592617,53.36579294847534
178,2019-03-15 17:49:10.137,2019-03-15 17:52:08.651,402.0,Broadway & E 22 St,40.7403432,-73.98955109,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,28905,Subscriber,1980,1,start,4098160,53.36579294847534,481.11317724787045
259,2019-03-15 17:49:48.348,2019-03-15 17:54:08.056,402.0,Broadway & E 22 St,40.7403432,-73.98955109,509.0,9 Ave & W 22 St,40.7454973,-74.00197139,32273,Subscriber,1982,1,start,4098160,53.36579294847534,1217.010810775957
672,2019-03-15 17:50:53.306,2019-03-15 18:02:06.005,402.0,Broadway & E 22 St,40.7403432,-73.98955109,369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394,30334,Subscriber,1987,1,start,4098160,53.36579294847534,1236.0691350085644
668,2019-03-16 12:04:45.747,2019-03-16 12:15:53.834,3129.0,Queens Plaza North & Crescent St,40.75110165,-73.94073717,3516.0,31 St & Astoria Blvd,40.7699176,-73.9184057,36652,Subscriber,1986,1,start,4097611,36.435729127416664,2826.596143821254
488,2019-03-16 12:15:07.395,2019-03-16 12:23:16.001,3129.0,Queens Plaza North & Crescent St,40.75110165,-73.94073717,3575.0,Crescent St & 34 Ave,40.76108,-73.930562,15683,Subscriber,1993,2,start,4097611,36.435729127416664,1417.9047648860503
879,2019-03-16 14:17:23.248,2019-03-16 14:32:02.456,167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,441.0,E 52 St & 2 Ave,40.756014,-73.967416,32038,Customer,1999,1,end,4097607,1151.0615092906053,86.03116660798266
801,2019-03-17 16:13:50.507,2019-03-17 16:27:11.599,3747.0,E 84 St & 3 Ave,40.77755374298887,-73.95512759685516,3387.0,E 106 St & Madison Ave,40.7934337,-73.94945003,37358,Subscriber,1995,1,start,4098204,15.47141654981139,1830.9582791449686
178,2019-03-17 16:14:48.903,2019-03-17 16:17:47.764,3747.0,E 84 St & 3 Ave,40.77755374298887,-73.95512759685516,3305.0,E 91 St & 2 Ave,40.78112229934166,-73.94965589046478,17915,Subscriber,1973,2,start,4098204,15.47141654981139,600.8602351245976
566,2019-03-18 15:00:59.677,2019-03-18 15:10:26.276,3435.0,Grand St & Elizabeth St,40.718822,-73.99596,320.0,Leonard St & Church St,40.717571,-74.005549,17728,Subscriber,1966,1,end,4100424,792.0346633995638,80.21132457671273
